Study,User,Accx,Accy,accz,audio,piezo,time,label
Panera1,90:68:C3:7D:B7:0E,13746176,7487488,13664256,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7471104,13893632,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7438336,11386880,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7487488,13549568,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7454720,12976128,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7733248,8896512,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7667712,13647872,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7700480,13647872,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7766016,12746752,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7782400,13467648,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7602176,13598720,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7766016,13713408,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7618560,13877248,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7553024,12845056,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13729792,7438336,13713408,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13729792,7438336,14057472,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7733248,9879552,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8994816,13500416,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,10469376,13467648,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8601600,10813440,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8060928,13582336,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8519680,13991936,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13729792,8536064,13877248,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8503296,13926400,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,9207808,11157504,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8994816,13697024,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,9420800,12910592,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8192000,11829248,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8241152,13860864,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8257536,14041088,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8404992,12124160,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8536064,12664832,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8421376,14073856,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8339456,16662528,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,8585216,14041088,-1,1025,1.46378E+12,1
